train acc :0.072	test acc:0.1692
train acc :0.105	test acc:0.181
train acc :0.125	test acc:0.1798
train acc :0.185	test acc:0.1966
train acc :0.25	test acc:0.2054
train acc :0.321	test acc:0.2296
train acc :0.394	test acc:0.2456
train acc :0.445	test acc:0.2528
train acc :0.467	test acc:0.2576
train acc :0.492	test acc:0.2636
train acc :0.514	test acc:0.254
train acc :0.528	test acc:0.2578
train acc :0.53	test acc:0.2524
train acc :0.545	test acc:0.2514
train acc :0.549	test acc:0.25
train acc :0.572	test acc:0.2496
train acc :0.567	test acc:0.2458
train acc :0.575	test acc:0.2432
train acc :0.585	test acc:0.2458
train acc :0.582	test acc:0.2454
train acc :0.592	test acc:0.244
train acc :0.598	test acc:0.2448
train acc :0.597	test acc:0.2438
train acc :0.604	test acc:0.2428
train acc :0.6	test acc:0.24
train acc :0.6	test acc:0.2354
train acc :0.613	test acc:0.2442
train acc :0.61	test acc:0.2404
train acc :0.615	test acc:0.2272
train acc :0.616	test acc:0.2404
train acc :0.621	test acc:0.2302
train acc :0.616	test acc:0.23
train acc :0.616	test acc:0.2286
train acc :0.631	test acc:0.2376
train acc :0.63	test acc:0.2316
train acc :0.629	test acc:0.229
train acc :0.626	test acc:0.2362
train acc :0.636	test acc:0.2306
train acc :0.632	test acc:0.235
train acc :0.634	test acc:0.2272
train acc :0.638	test acc:0.2242
train acc :0.634	test acc:0.2314
train acc :0.637	test acc:0.2272
train acc :0.64	test acc:0.2308
train acc :0.644	test acc:0.2266
train acc :0.638	test acc:0.2224
train acc :0.643	test acc:0.2232
train acc :0.647	test acc:0.2268
train acc :0.643	test acc:0.2346
train acc :0.633	test acc:0.2122
train acc :0.654	test acc:0.2252
train acc :0.645	test acc:0.221
train acc :0.641	test acc:0.2178
train acc :0.653	test acc:0.2174
train acc :0.648	test acc:0.2158
train acc :0.656	test acc:0.217
train acc :0.661	test acc:0.2162
train acc :0.649	test acc:0.2218
train acc :0.659	test acc:0.2198
train acc :0.664	test acc:0.2168
train acc :0.654	test acc:0.2066
train acc :0.659	test acc:0.206
train acc :0.646	test acc:0.213
train acc :0.664	test acc:0.2144
train acc :0.66	test acc:0.2152
train acc :0.663	test acc:0.2162
train acc :0.667	test acc:0.2186
train acc :0.66	test acc:0.2116
train acc :0.657	test acc:0.2152
train acc :0.66	test acc:0.2028
train acc :0.661	test acc:0.2144
train acc :0.666	test acc:0.2094
train acc :0.669	test acc:0.2104
train acc :0.666	test acc:0.2112
train acc :0.664	test acc:0.2128
train acc :0.663	test acc:0.21
train acc :0.669	test acc:0.2072
train acc :0.664	test acc:0.2102
train acc :0.67	test acc:0.2138
train acc :0.667	test acc:0.2054
train acc :0.673	test acc:0.2048
train acc :0.666	test acc:0.2076
train acc :0.663	test acc:0.2064
train acc :0.675	test acc:0.2038
train acc :0.678	test acc:0.2114
train acc :0.668	test acc:0.1988
train acc :0.67	test acc:0.2094
train acc :0.672	test acc:0.2052
train acc :0.679	test acc:0.2132
train acc :0.678	test acc:0.2052
train acc :0.687	test acc:0.2146
train acc :0.673	test acc:0.206
train acc :0.667	test acc:0.2128
train acc :0.681	test acc:0.2146
train acc :0.666	test acc:0.2176
train acc :0.669	test acc:0.2016
train acc :0.673	test acc:0.2158
train acc :0.678	test acc:0.21
train acc :0.686	test acc:0.2094
train acc :0.685	test acc:0.202
train acc :0.046	test acc:0.1324
train acc :0.138	test acc:0.21
train acc :0.204	test acc:0.224
train acc :0.262	test acc:0.2278
train acc :0.32	test acc:0.2392
train acc :0.35	test acc:0.2508
train acc :0.376	test acc:0.2578
train acc :0.4	test acc:0.2632
train acc :0.42	test acc:0.2658
train acc :0.435	test acc:0.2626
train acc :0.452	test acc:0.2628
train acc :0.461	test acc:0.2622
train acc :0.479	test acc:0.2646
train acc :0.506	test acc:0.2696
train acc :0.535	test acc:0.273
train acc :0.544	test acc:0.2774
train acc :0.556	test acc:0.283
train acc :0.58	test acc:0.2844
train acc :0.588	test acc:0.287
train acc :0.6	test acc:0.2858
train acc :0.612	test acc:0.2844
train acc :0.619	test acc:0.2848
train acc :0.627	test acc:0.284
train acc :0.643	test acc:0.2846
train acc :0.657	test acc:0.282
train acc :0.669	test acc:0.28
train acc :0.667	test acc:0.2772
train acc :0.666	test acc:0.2744
train acc :0.664	test acc:0.274
train acc :0.669	test acc:0.2726
train acc :0.667	test acc:0.2716
train acc :0.662	test acc:0.2688
train acc :0.656	test acc:0.2648
train acc :0.655	test acc:0.2638
train acc :0.656	test acc:0.2622
train acc :0.664	test acc:0.2598
train acc :0.659	test acc:0.2614
train acc :0.664	test acc:0.2604
train acc :0.663	test acc:0.2576
train acc :0.665	test acc:0.2564
train acc :0.667	test acc:0.258
train acc :0.669	test acc:0.2548
train acc :0.672	test acc:0.2536
train acc :0.672	test acc:0.2542
train acc :0.675	test acc:0.2542
train acc :0.677	test acc:0.2548
train acc :0.676	test acc:0.2528
train acc :0.676	test acc:0.252
train acc :0.671	test acc:0.254
train acc :0.679	test acc:0.2524
train acc :0.674	test acc:0.2494
train acc :0.68	test acc:0.2534
train acc :0.674	test acc:0.2514
train acc :0.676	test acc:0.2524
train acc :0.677	test acc:0.2522
train acc :0.679	test acc:0.2512
train acc :0.682	test acc:0.25
train acc :0.685	test acc:0.2498
train acc :0.685	test acc:0.2488
train acc :0.676	test acc:0.251
train acc :0.673	test acc:0.2546
train acc :0.679	test acc:0.2514
train acc :0.678	test acc:0.2478
train acc :0.675	test acc:0.2506
train acc :0.677	test acc:0.249
train acc :0.681	test acc:0.2552
train acc :0.683	test acc:0.2516
train acc :0.677	test acc:0.2518
train acc :0.678	test acc:0.2532
train acc :0.682	test acc:0.2536
train acc :0.681	test acc:0.2526
train acc :0.677	test acc:0.2506
train acc :0.684	test acc:0.2532
train acc :0.682	test acc:0.2542
train acc :0.682	test acc:0.2512
train acc :0.684	test acc:0.2542
train acc :0.677	test acc:0.2536
train acc :0.684	test acc:0.2558
train acc :0.68	test acc:0.253
train acc :0.683	test acc:0.2542
train acc :0.687	test acc:0.2532
train acc :0.688	test acc:0.2554
train acc :0.689	test acc:0.2526
train acc :0.682	test acc:0.254
train acc :0.686	test acc:0.2554
train acc :0.683	test acc:0.2538
train acc :0.685	test acc:0.2552
train acc :0.677	test acc:0.256
train acc :0.686	test acc:0.256
train acc :0.687	test acc:0.2592
train acc :0.681	test acc:0.2568
train acc :0.693	test acc:0.2556
train acc :0.685	test acc:0.2544
train acc :0.685	test acc:0.2522
train acc :0.686	test acc:0.2542
train acc :0.689	test acc:0.2552
train acc :0.684	test acc:0.2536
train acc :0.688	test acc:0.259
train acc :0.688	test acc:0.257
train acc :0.689	test acc:0.255
train acc :0.051	test acc:0.1846
train acc :0.086	test acc:0.1864
train acc :0.145	test acc:0.1884
train acc :0.226	test acc:0.2022
train acc :0.303	test acc:0.2082
train acc :0.366	test acc:0.223
train acc :0.402	test acc:0.2352
train acc :0.441	test acc:0.2386
train acc :0.482	test acc:0.2424
train acc :0.489	test acc:0.2464
train acc :0.51	test acc:0.2494
train acc :0.524	test acc:0.2538
train acc :0.53	test acc:0.2534
train acc :0.544	test acc:0.257
train acc :0.552	test acc:0.2604
train acc :0.559	test acc:0.2534
train acc :0.573	test acc:0.2684
train acc :0.574	test acc:0.2634
train acc :0.579	test acc:0.2526
train acc :0.59	test acc:0.2638
train acc :0.592	test acc:0.267
train acc :0.592	test acc:0.2536
train acc :0.595	test acc:0.2622
train acc :0.606	test acc:0.2644
train acc :0.608	test acc:0.2576
train acc :0.612	test acc:0.2516
train acc :0.608	test acc:0.254
train acc :0.624	test acc:0.2516
train acc :0.617	test acc:0.2496
train acc :0.621	test acc:0.2452
train acc :0.62	test acc:0.2518
train acc :0.621	test acc:0.2552
train acc :0.617	test acc:0.253
train acc :0.629	test acc:0.2452
train acc :0.63	test acc:0.2398
train acc :0.636	test acc:0.247
train acc :0.637	test acc:0.2386
train acc :0.635	test acc:0.2458
train acc :0.634	test acc:0.24
train acc :0.639	test acc:0.2442
train acc :0.641	test acc:0.2378
train acc :0.647	test acc:0.243
train acc :0.639	test acc:0.2374
train acc :0.641	test acc:0.2422
train acc :0.648	test acc:0.2332
train acc :0.641	test acc:0.2368
train acc :0.657	test acc:0.2422
train acc :0.644	test acc:0.2374
train acc :0.654	test acc:0.2322
train acc :0.661	test acc:0.2324
train acc :0.655	test acc:0.2344
train acc :0.657	test acc:0.229
train acc :0.659	test acc:0.2296
train acc :0.654	test acc:0.2252
train acc :0.653	test acc:0.2228
train acc :0.665	test acc:0.2284
train acc :0.654	test acc:0.2226
train acc :0.661	test acc:0.2288
train acc :0.658	test acc:0.2224
train acc :0.668	test acc:0.227
train acc :0.67	test acc:0.2314
train acc :0.658	test acc:0.2186
train acc :0.664	test acc:0.2322
train acc :0.666	test acc:0.2256
train acc :0.671	test acc:0.2246
train acc :0.665	test acc:0.2276
train acc :0.668	test acc:0.2206
train acc :0.677	test acc:0.2224
train acc :0.68	test acc:0.231
train acc :0.663	test acc:0.22
train acc :0.679	test acc:0.2306
train acc :0.672	test acc:0.2258
train acc :0.674	test acc:0.2276
train acc :0.676	test acc:0.2234
train acc :0.684	test acc:0.2356
train acc :0.673	test acc:0.2132
train acc :0.671	test acc:0.2174
train acc :0.669	test acc:0.2206
train acc :0.68	test acc:0.2284
train acc :0.683	test acc:0.2244
train acc :0.667	test acc:0.2202
train acc :0.684	test acc:0.2266
train acc :0.667	test acc:0.2118
train acc :0.677	test acc:0.233
train acc :0.686	test acc:0.2262
train acc :0.675	test acc:0.2198
train acc :0.692	test acc:0.2388
train acc :0.683	test acc:0.2232
train acc :0.678	test acc:0.2306
train acc :0.675	test acc:0.2278
train acc :0.677	test acc:0.2184
train acc :0.677	test acc:0.2122
train acc :0.677	test acc:0.218
train acc :0.69	test acc:0.2284
train acc :0.681	test acc:0.2302
train acc :0.679	test acc:0.218
train acc :0.679	test acc:0.2226
train acc :0.683	test acc:0.219
train acc :0.683	test acc:0.2218
train acc :0.681	test acc:0.2084
