train acc :0.118	test acc:0.1766
train acc :0.321	test acc:0.1412
train acc :0.502	test acc:0.1896
train acc :0.57	test acc:0.2208
train acc :0.612	test acc:0.244
train acc :0.651	test acc:0.2518
train acc :0.68	test acc:0.2518
train acc :0.706	test acc:0.2574
train acc :0.725	test acc:0.2602
train acc :0.735	test acc:0.2578
train acc :0.752	test acc:0.2574
train acc :0.767	test acc:0.2584
train acc :0.779	test acc:0.256
train acc :0.785	test acc:0.2544
train acc :0.793	test acc:0.2536
train acc :0.793	test acc:0.2526
train acc :0.796	test acc:0.2504
train acc :0.801	test acc:0.2492
train acc :0.804	test acc:0.2462
train acc :0.807	test acc:0.2448
train acc :0.81	test acc:0.2444
train acc :0.812	test acc:0.2448
train acc :0.813	test acc:0.2446
train acc :0.809	test acc:0.239
train acc :0.809	test acc:0.2424
train acc :0.808	test acc:0.2392
train acc :0.811	test acc:0.241
train acc :0.811	test acc:0.2406
train acc :0.808	test acc:0.2418
train acc :0.807	test acc:0.2426
train acc :0.811	test acc:0.2448
train acc :0.81	test acc:0.241
train acc :0.812	test acc:0.2442
train acc :0.811	test acc:0.2414
train acc :0.811	test acc:0.2426
train acc :0.809	test acc:0.2412
train acc :0.81	test acc:0.2412
train acc :0.812	test acc:0.2426
train acc :0.814	test acc:0.2416
train acc :0.808	test acc:0.2418
train acc :0.809	test acc:0.2464
train acc :0.809	test acc:0.2394
train acc :0.809	test acc:0.239
train acc :0.809	test acc:0.2436
train acc :0.81	test acc:0.2418
train acc :0.809	test acc:0.2384
train acc :0.809	test acc:0.2416
train acc :0.808	test acc:0.2452
train acc :0.811	test acc:0.241
train acc :0.808	test acc:0.2412
train acc :0.809	test acc:0.2436
train acc :0.81	test acc:0.2434
train acc :0.81	test acc:0.2394
train acc :0.813	test acc:0.2442
train acc :0.81	test acc:0.2396
train acc :0.81	test acc:0.2436
train acc :0.813	test acc:0.2428
train acc :0.81	test acc:0.2436
train acc :0.809	test acc:0.2412
train acc :0.81	test acc:0.24
train acc :0.81	test acc:0.2408
train acc :0.811	test acc:0.2384
train acc :0.81	test acc:0.2396
train acc :0.81	test acc:0.2398
train acc :0.814	test acc:0.2402
train acc :0.808	test acc:0.2382
train acc :0.813	test acc:0.2406
train acc :0.812	test acc:0.2408
train acc :0.813	test acc:0.2388
train acc :0.813	test acc:0.244
train acc :0.809	test acc:0.2424
train acc :0.811	test acc:0.2364
train acc :0.808	test acc:0.2366
train acc :0.808	test acc:0.238
train acc :0.81	test acc:0.2392
train acc :0.81	test acc:0.238
train acc :0.812	test acc:0.2386
train acc :0.811	test acc:0.2374
train acc :0.811	test acc:0.238
train acc :0.81	test acc:0.236
train acc :0.81	test acc:0.2328
train acc :0.811	test acc:0.2374
train acc :0.813	test acc:0.242
train acc :0.813	test acc:0.2384
train acc :0.812	test acc:0.2372
train acc :0.81	test acc:0.2402
train acc :0.809	test acc:0.2382
train acc :0.812	test acc:0.2376
train acc :0.811	test acc:0.2402
train acc :0.809	test acc:0.239
train acc :0.812	test acc:0.2406
train acc :0.809	test acc:0.2396
train acc :0.811	test acc:0.2398
train acc :0.811	test acc:0.2352
train acc :0.812	test acc:0.2354
train acc :0.808	test acc:0.2358
train acc :0.809	test acc:0.2386
train acc :0.815	test acc:0.235
train acc :0.811	test acc:0.2392
train acc :0.813	test acc:0.2406
