train acc :0.096	test acc:0.0924
train acc :0.25	test acc:0.094
train acc :0.462	test acc:0.1366
train acc :0.553	test acc:0.1546
train acc :0.611	test acc:0.1722
train acc :0.648	test acc:0.1896
train acc :0.672	test acc:0.2006
train acc :0.701	test acc:0.2044
train acc :0.722	test acc:0.207
train acc :0.736	test acc:0.2074
train acc :0.749	test acc:0.2122
train acc :0.76	test acc:0.2144
train acc :0.774	test acc:0.219
train acc :0.786	test acc:0.2208
train acc :0.787	test acc:0.221
train acc :0.791	test acc:0.2224
train acc :0.799	test acc:0.2236
train acc :0.801	test acc:0.2226
train acc :0.804	test acc:0.2236
train acc :0.806	test acc:0.2248
train acc :0.805	test acc:0.2254
train acc :0.806	test acc:0.2256
train acc :0.806	test acc:0.2272
train acc :0.805	test acc:0.227
train acc :0.804	test acc:0.2292
train acc :0.807	test acc:0.2326
train acc :0.808	test acc:0.2304
train acc :0.809	test acc:0.2326
train acc :0.807	test acc:0.235
train acc :0.811	test acc:0.2352
train acc :0.807	test acc:0.2356
train acc :0.808	test acc:0.2362
train acc :0.81	test acc:0.2362
train acc :0.81	test acc:0.239
train acc :0.807	test acc:0.24
train acc :0.811	test acc:0.2384
train acc :0.811	test acc:0.2426
train acc :0.812	test acc:0.242
train acc :0.811	test acc:0.244
train acc :0.811	test acc:0.2434
train acc :0.813	test acc:0.2438
train acc :0.811	test acc:0.2444
train acc :0.811	test acc:0.2474
train acc :0.811	test acc:0.2488
train acc :0.81	test acc:0.2476
train acc :0.809	test acc:0.2518
train acc :0.808	test acc:0.2478
train acc :0.809	test acc:0.2514
train acc :0.81	test acc:0.2508
train acc :0.811	test acc:0.252
train acc :0.81	test acc:0.2504
train acc :0.809	test acc:0.2502
train acc :0.813	test acc:0.2526
train acc :0.811	test acc:0.2516
train acc :0.807	test acc:0.2526
train acc :0.812	test acc:0.2504
train acc :0.812	test acc:0.2512
train acc :0.811	test acc:0.2502
train acc :0.81	test acc:0.2512
train acc :0.81	test acc:0.2516
train acc :0.809	test acc:0.2532
train acc :0.812	test acc:0.2528
train acc :0.811	test acc:0.2516
train acc :0.807	test acc:0.2534
train acc :0.812	test acc:0.2518
train acc :0.811	test acc:0.2528
train acc :0.81	test acc:0.2508
train acc :0.806	test acc:0.251
train acc :0.81	test acc:0.251
train acc :0.811	test acc:0.2504
train acc :0.809	test acc:0.2532
train acc :0.812	test acc:0.2532
train acc :0.81	test acc:0.25
train acc :0.811	test acc:0.251
train acc :0.81	test acc:0.2506
train acc :0.811	test acc:0.2524
train acc :0.812	test acc:0.2522
train acc :0.81	test acc:0.2538
train acc :0.811	test acc:0.2512
train acc :0.81	test acc:0.2524
train acc :0.811	test acc:0.2518
train acc :0.811	test acc:0.2532
train acc :0.811	test acc:0.2524
train acc :0.811	test acc:0.252
train acc :0.81	test acc:0.2516
train acc :0.81	test acc:0.2496
train acc :0.815	test acc:0.2522
train acc :0.813	test acc:0.2516
train acc :0.81	test acc:0.2516
train acc :0.81	test acc:0.2524
train acc :0.813	test acc:0.2528
train acc :0.812	test acc:0.2518
train acc :0.809	test acc:0.2508
train acc :0.813	test acc:0.252
train acc :0.811	test acc:0.2532
train acc :0.812	test acc:0.2516
train acc :0.81	test acc:0.25
train acc :0.808	test acc:0.251
train acc :0.811	test acc:0.2528
train acc :0.809	test acc:0.251
